lands,ramp,rock_ramp,land_ramp,ramp_1,ramp_2,ramp_3,draw,immediate_draw,turn_draw,cast_draw,draw_1,draw_2,draw_3,value,value_cmc,curve,cmc_1,cmc_2,cmc_3,cmc_4,cmc_5,cmc_6,cmc_7+,total_mana_spent,ramp_mana_spent,draw_mana_spent,nonramp_nondraw_mana_spent,high_cmc_mana_spent,avg_commander_cast_turn,commander_cast_rate
38,6,4,2,3,3,0,11,5,6,0,0,3,2,44,3.090909090909091,2.903225806451613,10,21,13,8,6,3,1,34.636,3.418,4.706,26.512,1.278,3.71285140562249,0.996
34,10,6,4,5,5,0,11,5,6,0,0,3,2,44,3.090909090909091,2.8636363636363638,10,23,16,7,6,3,1,35.776,5.212,4.214,26.35,0.9,3.597979797979798,0.99
38,7,3,4,3,4,0,10,5,4,1,0,3,2,44,3.090909090909091,2.9516129032258065,10,20,14,7,6,4,1,34.144,3.272,4.57,26.302,1.098,3.72635814889336,0.994
40,6,2,4,2,4,0,9,5,4,0,0,1,4,44,3.090909090909091,2.95,9,20,13,8,6,3,1,33.11,2.804,4.16,26.146,1.044,3.672032193158954,0.994
37,8,5,3,4,4,0,10,2,8,0,0,2,0,44,3.090909090909091,2.9047619047619047,10,21,14,8,6,3,1,33.754,3.746,3.942,26.066,1.152,3.720647773279352,0.988
41,5,1,4,1,4,0,9,3,5,1,0,2,1,44,3.090909090909091,3.0,9,19,13,7,6,4,1,32.922,2.486,4.426,26.01,0.774,3.7695390781563125,0.998
39,8,5,3,4,4,0,8,3,5,0,0,2,1,44,3.090909090909091,2.9508196721311477,9,19,16,7,6,3,1,33.212,3.944,3.258,26.01,0.846,3.754,1.0
35,7,5,2,3,4,0,13,5,8,0,0,3,2,44,3.090909090909091,2.9384615384615387,9,22,15,9,6,3,1,35.744,3.952,5.816,25.976,1.152,3.7550607287449393,0.988
37,9,5,4,4,5,0,9,3,6,0,0,2,1,44,3.090909090909091,2.9365079365079363,9,22,13,9,6,3,1,33.926,4.07,3.944,25.912,0.936,3.6847389558232932,0.996
40,7,3,4,3,4,0,8,5,3,0,0,2,2,44,3.090909090909091,2.9833333333333334,9,20,13,7,6,4,1,32.894,2.89,4.108,25.896,0.9,3.6573146292585172,0.998
41,7,3,4,3,4,0,7,1,5,1,0,1,0,44,3.090909090909091,3.0,9,19,13,7,6,4,1,32.772,3.136,3.766,25.87,0.828,3.697394789579158,0.998
43,6,2,4,2,4,0,6,1,5,0,0,0,0,44,3.090909090909091,3.0,10,16,14,6,6,4,1,31.386,2.998,2.532,25.856,0.774,3.7690763052208833,0.996
35,9,5,4,4,5,0,11,5,6,0,0,2,3,44,3.090909090909091,2.9076923076923076,10,22,14,9,6,3,1,35.108,4.832,4.45,25.826,1.314,3.738336713995943,0.986
37,7,3,4,3,4,0,11,3,8,0,0,3,0,44,3.090909090909091,2.9365079365079363,9,21,15,8,6,3,1,33.816,3.914,4.3,25.602,1.116,3.963855421686747,0.996
40,4,2,2,2,2,0,11,4,7,0,0,2,2,44,3.090909090909091,2.9166666666666665,10,19,14,7,6,3,1,32.308,2.052,4.656,25.6,1.008,3.783567134268537,0.998
