lands,ramp,rock_ramp,land_ramp,ramp_1,ramp_2,ramp_3,draw,immediate_draw,turn_draw,cast_draw,draw_1,draw_2,draw_3,value,value_cmc,curve,cmc_1,cmc_2,cmc_3,cmc_4,cmc_5,cmc_6,cmc_7+,total_mana_spent,ramp_mana_spent,draw_mana_spent,nonramp_nondraw_mana_spent,high_cmc_mana_spent,avg_commander_cast_turn,commander_cast_rate
29,11,10,1,8,2,1,22,18,2,2,11,2,3,34,3.235294117647059,2.7794117647058822,18,17,14,11,4,2,3,102.574,10.672,26.436,65.466,15.574,3.592,1.0
30,11,10,1,8,2,1,21,17,2,2,10,3,2,34,3.235294117647059,2.7761194029850746,17,17,15,11,3,2,3,100.306,10.756,24.17,65.38,15.206,3.546,1.0
31,9,8,1,6,2,1,22,18,2,2,11,3,2,34,3.235294117647059,2.772727272727273,18,16,14,10,4,2,3,99.524,8.466,25.722,65.336,15.042,3.64,1.0
33,7,6,1,4,2,1,22,18,2,2,11,2,3,34,3.235294117647059,2.84375,17,14,14,11,4,2,3,99.444,6.828,27.292,65.324,15.736,3.586,1.0
29,11,10,1,8,2,1,22,18,2,2,11,3,2,34,3.235294117647059,2.764705882352941,18,17,15,10,4,2,3,101.448,10.702,25.428,65.318,15.504,3.574,1.0
31,11,10,1,8,2,1,20,16,2,2,9,2,3,34,3.235294117647059,2.8181818181818183,17,16,14,11,4,2,3,100.778,10.898,24.618,65.262,15.532,3.638,1.0
29,9,8,1,6,2,1,24,20,2,2,12,3,3,34,3.235294117647059,2.7794117647058822,19,15,15,11,4,2,3,102.184,9.066,27.934,65.184,15.496,3.73,1.0
31,10,9,1,7,2,1,21,17,2,2,10,2,3,34,3.235294117647059,2.803030303030303,18,15,14,11,4,2,3,100.042,9.872,25.07,65.1,15.528,3.604,1.0
31,11,10,1,8,2,1,20,16,2,2,9,3,2,34,3.235294117647059,2.803030303030303,17,16,15,10,4,2,3,100.648,11.172,24.414,65.062,15.348,3.566,1.0
33,10,9,1,7,2,1,19,15,2,2,10,1,3,34,3.235294117647059,2.796875,17,16,13,10,4,2,3,97.256,9.668,22.538,65.05,14.75,3.408,1.0
33,9,8,1,6,2,1,20,16,2,2,9,3,2,34,3.235294117647059,2.8125,17,14,15,11,3,2,3,97.676,9.456,23.176,65.044,15.06,3.536,1.0
30,12,11,1,9,2,1,20,16,2,2,9,3,2,34,3.235294117647059,2.791044776119403,17,17,15,10,4,2,3,101.334,11.788,24.506,65.04,15.428,3.526,1.0
27,11,10,1,8,2,1,24,20,2,2,12,3,3,34,3.235294117647059,2.757142857142857,19,17,15,11,4,2,3,103.484,10.456,27.994,65.034,15.982,3.694,1.0
27,12,11,1,9,2,1,23,19,2,2,12,3,2,34,3.235294117647059,2.7142857142857144,19,18,15,11,3,2,3,101.694,11.692,24.994,65.008,15.366,3.602,1.0
28,11,10,1,8,2,1,23,19,2,2,11,3,3,34,3.235294117647059,2.7681159420289854,18,18,14,11,4,2,3,103.1,10.31,27.828,64.962,15.148,3.614,1.0
30,12,11,1,9,2,1,20,16,2,2,9,3,2,34,3.235294117647059,2.7761194029850746,17,17,15,11,3,2,3,100.454,11.76,23.742,64.952,14.612,3.576,1.0
