lands,ramp,rock_ramp,land_ramp,ramp_1,ramp_2,ramp_3,draw,immediate_draw,turn_draw,cast_draw,draw_1,draw_2,draw_3,value,value_cmc,curve,cmc_1,cmc_2,cmc_3,cmc_4,cmc_5,cmc_6,cmc_7+,total_mana_spent,ramp_mana_spent,draw_mana_spent,nonramp_nondraw_mana_spent,high_cmc_mana_spent,avg_commander_cast_turn,commander_cast_rate
40,19,16,3,7,8,4,2,0,1,1,0,0,0,38,6.315789473684211,5.35,3,8,7,8,5,6,21,45.253,9.341,1.144,34.768,25.658,6.994587280108254,0.739
38,21,19,2,7,11,3,2,0,1,1,0,0,0,38,6.2368421052631575,5.241935483870968,3,9,7,9,4,7,21,46.057,10.297,1.08,34.68,26.121,6.9558620689655175,0.725
42,21,20,1,7,9,5,1,0,1,0,0,0,0,35,6.085714285714285,5.120689655172414,3,10,6,7,5,7,18,45.277,10.183,0.564,34.53,25.695,6.8347406513872135,0.829
43,17,17,0,6,8,3,2,0,1,1,0,0,0,37,6.405405405405405,5.4035087719298245,3,9,6,7,4,5,21,43.666,8.091,1.12,34.455,26.533,6.964912280701754,0.741
41,19,17,2,7,8,4,2,0,1,1,0,0,0,37,6.162162162162162,5.220338983050848,3,9,7,7,4,9,18,45.039,9.403,1.208,34.428,23.765,6.885976408912189,0.763
42,20,19,1,6,10,4,1,0,0,1,0,0,0,36,6.222222222222222,5.241379310344827,3,8,6,10,5,4,20,44.92,9.955,0.54,34.425,26.199,6.72692793931732,0.791
43,19,19,0,6,10,3,1,0,0,1,0,0,0,36,6.333333333333333,5.280701754385965,3,9,6,9,4,5,19,43.804,8.868,0.536,34.4,25.225,6.8430884184308844,0.803
43,18,17,1,7,9,2,2,0,1,1,0,0,0,36,6.5,5.333333333333333,3,9,7,9,4,3,20,43.678,8.304,1.04,34.334,25.968,6.99737876802097,0.763
42,18,18,0,8,6,4,2,0,1,1,0,0,0,37,6.27027027027027,5.241379310344827,3,11,6,5,5,7,19,43.464,7.762,1.444,34.258,24.715,6.984168865435357,0.758
42,18,16,2,8,8,2,2,0,1,1,0,0,0,37,6.135135135135135,5.155172413793103,3,9,7,8,4,6,19,43.858,8.417,1.184,34.257,24.064,7.064295485636115,0.731
40,20,18,2,8,8,4,2,0,1,1,0,0,0,37,6.216216216216216,5.25,3,10,7,5,5,10,18,45.281,9.759,1.284,34.238,24.108,6.887434554973822,0.764
40,20,19,1,8,8,4,3,0,2,1,0,0,0,36,6.111111111111111,5.15,3,10,6,8,4,8,19,46.116,9.799,2.088,34.229,25.584,6.852522639068564,0.773
37,23,21,2,9,10,4,1,0,0,1,0,0,0,38,6.2631578947368425,5.222222222222222,3,10,7,8,5,7,21,45.953,11.161,0.596,34.196,25.619,6.956343792633015,0.733
43,19,17,2,10,5,4,3,0,2,1,0,0,0,34,6.0,5.017543859649122,3,11,6,6,5,7,17,45.318,9.158,1.996,34.164,24.785,6.936305732484076,0.785
44,16,16,0,4,8,4,2,0,1,1,0,0,0,37,6.486486486486487,5.553571428571429,3,7,6,8,4,6,20,42.885,7.596,1.128,34.161,25.064,7.059888579387187,0.718
42,20,18,2,9,7,4,1,0,0,1,0,0,0,36,6.25,5.172413793103448,3,11,7,5,5,5,20,44.12,9.398,0.572,34.15,26.225,6.876903553299492,0.788
38,22,20,2,8,10,4,2,0,1,1,0,0,0,37,6.216216216216216,5.193548387096774,3,10,6,9,5,8,19,45.702,10.494,1.072,34.136,24.784,6.87757909215956,0.727
36,24,22,2,11,10,3,2,0,1,1,0,0,0,37,6.324324324324325,5.078125,3,12,7,10,5,5,20,46.458,11.264,1.1,34.094,25.358,6.817480719794345,0.778
41,19,18,1,7,7,5,2,0,1,1,0,0,0,37,6.486486486486487,5.423728813559322,3,10,6,6,5,7,20,44.922,9.621,1.212,34.089,25.216,6.7973333333333334,0.75
40,21,20,1,10,7,4,1,0,0,1,0,0,0,37,6.45945945945946,5.266666666666667,3,12,6,7,4,5,21,44.135,9.418,0.636,34.081,26.271,6.83442838370565,0.761
42,17,15,2,6,7,4,3,0,2,1,0,0,0,37,6.1891891891891895,5.344827586206897,3,7,7,7,5,9,18,44.609,8.588,1.946,34.075,23.538,6.987788331071913,0.737
39,21,20,1,6,10,5,1,0,0,1,0,0,0,38,6.5,5.459016393442623,3,9,6,8,5,8,20,44.867,10.301,0.528,34.038,24.547,6.858652575957728,0.757
45,16,16,0,6,5,5,1,0,0,1,0,0,0,37,6.324324324324325,5.418181818181818,3,9,6,4,5,5,21,42.099,7.553,0.532,34.014,25.839,6.848684210526316,0.76
44,18,17,1,7,6,5,2,0,1,1,0,0,0,35,6.142857142857143,5.232142857142857,3,9,6,6,5,7,18,44.446,9.069,1.364,34.013,25.606,6.837387964148528,0.781
43,20,18,2,8,8,4,2,0,1,1,0,0,0,34,6.235294117647059,5.228070175438597,3,9,6,8,5,6,18,45.222,10.097,1.148,33.977,25.777,6.7799511002444985,0.818
39,19,19,0,8,6,5,3,0,2,1,0,0,0,38,6.473684210526316,5.377049180327869,3,11,6,6,5,8,20,44.834,8.828,2.036,33.97,24.546,6.8774373259052926,0.718
42,18,16,2,6,9,3,2,0,1,1,0,0,0,37,6.324324324324325,5.379310344827586,3,8,6,8,5,8,18,44.298,8.922,1.412,33.964,23.698,6.926896551724138,0.725
