lands,mana_rocks,land_ramp,immediate_draw,per_turn_draw,on_cast_draw,curve,actual_curve,total_mana_spent,ramp_mana_spent,draw_mana_spent,nonramp_nondraw_mana_spent,high_cmc_mana_spent,cmc_0,cmc_1,cmc_2,cmc_3,cmc_4,cmc_5,cmc_6,cmc_7,cmc_8plus
41,3,18,14,1,1,3.0,2.983050847457627,108.215,33.5,31.247,43.468,4.092,0,4,17,21,11,5,1,0,0
39,0,18,12,3,1,3.0,2.9508196721311477,106.777,29.278,27.479,50.02,4.122,0,4,15,27,11,3,1,0,0
40,3,18,12,3,1,3.5,2.966666666666667,106.688,32.116,27.735,46.837,4.038,0,4,16,23,13,3,1,0,0
36,0,18,14,2,1,2.5,2.90625,105.38,28.451,30.872,46.057,8.352,0,6,21,19,11,5,2,0,0
37,2,16,14,3,1,3.5,3.0634920634920637,104.574,21.763,31.813,50.998,8.04,0,5,16,22,12,6,2,0,0
39,0,16,14,2,1,3.0,2.9836065573770494,101.792,22.369,30.99,48.433,3.822,0,4,16,25,10,5,1,0,0
35,2,16,14,3,1,3.0,2.9384615384615387,101.694,21.983,31.825,47.886,3.996,0,5,17,27,10,5,1,0,0
35,1,18,12,3,1,3.0,2.923076923076923,101.032,26.688,25.008,49.336,3.834,0,5,16,28,12,3,1,0,0
36,2,18,12,3,1,3.5,3.03125,100.918,26.4,24.325,50.193,7.278,0,5,16,23,14,4,2,0,0
35,0,18,12,3,1,3.5,3.0923076923076924,99.466,23.338,23.35,52.778,7.188,0,4,15,25,15,4,2,0,0
36,1,18,14,3,0,2.5,2.8125,98.874,28.69,28.518,41.666,3.612,0,6,23,19,10,5,1,0,0
39,2,18,14,0,1,3.0,2.9836065573770494,98.672,28.291,26.649,43.732,3.702,0,5,15,24,11,5,1,0,0
42,2,16,14,1,1,3.0,2.9655172413793105,98.585,25.414,29.082,44.089,3.924,0,4,16,23,9,5,1,0,0
42,0,18,10,3,1,3.0,2.896551724137931,97.449,29.284,21.005,47.16,3.822,0,4,15,26,10,2,1,0,0
40,1,18,14,2,0,3.0,2.966666666666667,96.117,28.2,26.568,41.349,3.522,0,5,15,24,10,5,1,0,0
40,0,12,14,3,1,3.0,2.9833333333333334,94.525,15.012,30.702,48.811,3.678,0,4,16,24,10,5,1,0,0
33,0,16,14,3,1,3.5,3.1940298507462686,93.875,16.342,25.66,51.873,10.317,0,4,16,24,13,7,2,1,0
37,1,16,14,1,1,2.5,2.8253968253968256,93.677,23.115,26.847,43.715,7.278,0,7,22,18,9,5,2,0,0
30,2,18,14,2,1,2.5,2.857142857142857,93.13,24.628,25.947,42.555,7.044,0,7,24,20,12,5,2,0,0
41,3,12,14,2,1,3.5,3.0508474576271185,92.897,16.721,28.413,47.763,7.098,0,5,17,17,12,6,2,0,0
36,1,14,14,2,1,2.5,2.828125,92.105,18.489,28.268,45.348,7.296,0,7,23,17,10,5,2,0,0
40,2,8,14,3,1,3.5,3.1333333333333333,91.676,9.336,27.834,54.506,10.749,0,5,17,16,13,6,2,1,0
40,0,12,14,2,1,3.5,3.1333333333333333,91.393,13.638,26.277,51.478,6.81,0,4,15,20,13,6,2,0,0
41,3,16,14,0,1,3.5,3.1016949152542375,91.349,22.249,24.506,44.594,6.786,0,4,15,21,11,6,2,0,0
40,3,14,14,1,1,3.5,3.05,90.444,19.362,25.119,45.963,6.552,0,5,17,18,12,6,2,0,0
39,1,16,10,3,1,3.5,2.9672131147540983,90.234,21.034,18.393,50.807,6.486,0,5,15,25,11,3,2,0,0
30,1,16,14,3,1,3.0,3.0,89.771,16.734,26.156,46.881,6.552,0,6,17,28,11,6,2,0,0
34,0,16,14,3,0,3.0,3.0,89.452,18.853,23.959,46.64,5.838,0,5,17,27,9,6,2,0,0
35,0,14,14,3,0,3.5,3.1846153846153844,88.345,14.818,22.584,50.943,9.226,0,4,16,23,12,7,2,1,0
38,3,18,12,0,1,2.5,2.7419354838709675,88.279,29.409,19.971,38.899,3.39,0,6,24,17,11,3,1,0,0
38,0,12,14,1,1,3.0,3.0161290322580645,86.838,13.262,24.132,49.444,6.276,0,5,17,22,10,6,2,0,0
31,3,18,12,2,1,3.0,2.927536231884058,86.715,22.836,19.201,44.678,6.33,0,6,19,26,12,4,2,0,0
33,1,14,12,3,1,2.5,2.7611940298507465,86.601,17.6,22.393,46.608,6.57,0,8,24,19,10,4,2,0,0
34,2,12,14,2,1,3.0,2.984848484848485,86.432,13.558,24.672,48.202,6.216,0,6,18,23,11,6,2,0,0
40,2,10,12,3,1,2.5,2.7333333333333334,86.382,14.054,25.035,47.293,6.966,0,7,24,14,10,3,2,0,0
40,2,14,10,3,1,3.5,2.95,86.331,18.482,18.028,49.821,6.522,0,5,16,23,11,3,2,0,0
30,1,18,12,2,1,3.0,2.9714285714285715,85.891,20.428,18.627,46.836,6.066,0,6,17,28,13,4,2,0,0
38,3,14,10,3,1,3.5,2.9516129032258065,85.672,18.437,17.483,49.752,6.108,0,5,17,23,12,3,2,0,0
38,0,10,12,3,1,2.5,2.774193548387097,85.624,12.044,23.663,49.917,6.726,0,7,24,15,10,4,2,0,0
29,0,18,12,2,1,3.0,3.0,84.982,19.391,18.293,47.298,5.988,0,5,17,30,13,4,2,0,0
35,0,16,12,1,1,3.0,2.9692307692307693,84.899,18.042,18.271,48.586,6.048,0,5,17,26,11,4,2,0,0
